aigu,adj
aiguë,
aigue-marine,adj n
aiguière,
aiguillage,n
aiguillat commun (page does not exist),
aiguillat tacheté (page does not exist),
aiguille,n
aiguille dans une botte de foin (page does not exist),
aiguiller,v
aiguillette,n
aiguilleur,n
aiguillon,n
aiguillonner,v
aiguisé,adj
aiguiser,v
aiguiseur,n
aiguisoir,n
aiguïté (page does not exist),
aigument,adv
ail,n
ail des ours (page does not exist),
aile,n
ailé,adj
aile delta (page does not exist),
aileron,n
ailette,n
ailier,n
ailier fort (page does not exist),
ailler,v
ailleurs,adv
d'ailleurs,adv
aimable,adj
aimablement,adv
aimai,v
aimaient,v
aimait,v
aimâmes,v
aimant,adj n
aimanter,v
aimara,
aimas,v
aimasse,v
aimassent,v
aimasses,v
aimassiez,v
aimassions,v
aimât,v
aimâtes,v
aime,v
aimé,
Aimée,proper
aimée,
aiment,v
aimer,v
aimer la bouteille (page does not exist),
aimera,v
aimerai,v
aimeraient,v
aimerais,v
aimerais bien (page does not exist),
aimerait,v
aimeras,v
aimèrent,v
aimerez,v
aimeriez,v
aimerions,v
aimerons,v
aimeront,v
aimes,v
aimez,v
aimiez,v
aimions,v
aimons,v
Ain,proper
aine,n
aîné,adj n
aînée,n
aînesse,n
ainois (page does not exist),
Ainois (page does not exist),
aïnou,n
ainsi,adv
ainsi de suite,
ainsi que,conj
ainsi soit-il (page does not exist),
aïnu (page does not exist),
aïoli,n int
air,n
air climatisation (page does not exist),
air climatiseur (page does not exist),
air frais (page does not exist),
Air France,proper
airain,n
airbag,n
aire,n
aire de restauration (page does not exist),
aire de Wernicke (page does not exist),
aire urbaine,n
airelle,n
airelle rouge (page does not exist),
airer,v
airure (page does not exist),
ais,n
aisance,n
aise,n adj
aisé,adj
aisée,
aisément,adv
Aisne,proper
Aïssata,proper
Aïssatou,proper
aisselle,n
aître,n
Aix-la-Chapelle,proper
Aixois,n
aixois,adj
AJA,init
ajaccien,adj
Ajaccien,n
Ajacéen,n
ajacéen,adj
ajonc,n
ajoncs,
ajouré,adj
ajourer,
ajournement,n
ajourner,v
ajout,n
ajouter,v
ajustage,n
ajustement,n
ajuster,v
ajusteur,n
ajusture (page does not exist),
akan,
akée (page does not exist),
akène,n
aki,
akinésique (page does not exist),
akinétique (page does not exist),
Akkadien,n
akkadien,n adj
Al-Andalus,
Al Jazeera,
Al-Qaida (page does not exist),
Alabama,
Alain,proper
alain,adj
alaise,n
alambic,n
alambiqué,
alandais,adj
alangui,adj
alanguir,v
alanine,
Alaric,
alarme,n
alarme incendie (page does not exist),
alarmer,v
alarmisme,n
alarmiste,n adj
Alaska,
alaskain,adj
Alban,proper
albanais,n adj
Albanais,n
Albanaise,n
albanaise,
Albane,proper
Albanie,proper
Albanie du Caucase,
Albany,
albâtre,n
albatros,n
albédo,n
Albert,proper
Alberta,proper
albertain,adj
Albertain,n
Alberte,proper
Albien,proper
albigeois,adj
Albin,
albinisme,n
albino,n
albinos,
Albion,
Albireo,
albophobie,n
album,n
album live,n
album studio,n
albumine,n
alcalin,adj
alcaliniser,
alcaloïde,n
alcane,n
alcène,n
alchimie,n
alchimique,adj
alchimiste,n
alchimistes,n
alcool,n
alcool de contrebande (page does not exist),
alcoolature,
alcoolémie,n
alcoolique,adj n
alcooliquement,adv
Alcooliques Anonymes (page does not exist),
alcoolisé,adj
alcooliser,v
alcoolisme,n
alcoolo,adj n
alcoométrique,adj
alcootest,n
alcôve,n
alcyne,n
Aldébaran (page does not exist),
aldébaranium (page does not exist),
aldéhyde formique (page does not exist),
ale,
aléa,n
aléatoire,adj
aléatoirement,adv
alémanique,adj
ALÉNA,acronym
Alençon,proper
alêne,n
alentir,v
alentour,adv
alentours,n
Alep,proper
alépin,adj
alerte,adj n
alerte sur résultats (page does not exist),
alertement,adv
alerter,v
alésage,
aléser,v
aléseuse,n
alésoir,n
alésure (page does not exist),
aléthique,adj
aleuromètre,n
alevin,n
alevinage,n
Alex,proper
Alexandra,proper
Alexandre,proper
Alexandre le Grand (page does not exist),
Alexandrie,proper
alexandrin,adj n
Alexandrin,proper
Alexandrine,proper
Alexandroúpoli (page does not exist),
Alexandroúpolis (page does not exist),
Alexia,proper
alexie,n
alexipharmaque,adj n
alexique,adj
Alexis,proper
alezan,adj n
alfénide,
Alfred,proper
algal,adj
algale,
algarade,n
algèbre,n
algèbre booléenne (page does not exist),
algèbre de Boole (page does not exist),
algèbre linéaire,n
algébrique,adj
algébriquement,adv
algébriste,
Alger,proper
Algérie,proper
Algérien,n
algérien,adj
algérienne,
Algérienne,
algérois,adj
algidité,
algine,n
algo,n
algonquin,n adj
algorithme,n
algorithme d'Euclide (page does not exist),
algorithmique,adj n
algorithmiquement,
algothérapie,n
algue,n
algue à vache (page does not exist),
algue verte,n
alguérois (page does not exist),
algues,
Ali,
alias,
alibi,
Alice,proper
Alicia,proper
aliénable,adj
aliénation,n
aliéné,
aliénée,
aliéner,v
Aliénor,proper
alif,n
aliforme,adj
aligné,
alignement,n
aligner,v
aliment,n
alimentaire,adj
alimentation,n
alimentation générale (page does not exist),
alimenter,v
Aline,proper
alinéa,n
aliphatique,
aliquote,
alité,
aliter,v
Alix,proper
alizé,n
alkylation,
Allah,
Allah akbar,
allaient,v
allais,v
allaitement,n
allaiter,v
allant,v
allant au four,adj
allatif,n
allécher,v
allée,n
allégation,n
allégé,
allégeance,n
allégement,n
alléger,v
allégorie,n
allégorique,adj
allégoriquement,adv
allègre,adj
allégrement,adv
allègrement,adv
allégresse,n
allégretto,adv
allégro,n adv
alléguer,v
allèle,n
allélophage (page does not exist),
alléluia,int
Allemagne,proper
Allemagne de l'Est,
Allemagne de l’Est,proper
Allemagne de l'Ouest (page does not exist),
allemand,n adj
Allemand,n
allemand des mennonites (page does not exist),
allemand de Suisse (page does not exist),
allemande,n
Allemande,
aller,v n
aller à la pêche (page does not exist),
aller à l'essentiel (page does not exist),
aller au charbon (page does not exist),
aller aux fraises (page does not exist),
aller comme un gant,v
aller dans le sens du vent (page does not exist),
aller de Charybde en Scylla,v
aller de mal en pis (page does not exist),
aller de soi,v
aller droit au but (page does not exist),
aller en reconnaissance (page does not exist),
aller-retour,n
aller sans dire (page does not exist),
aller se faire voir,phrase
aller simple,n
aller sur le pré (page does not exist),
aller voir défiler les dragons (page does not exist),
allergène,adj n
allergie,
allergique,adj
allergologue,n
allez,v int
allez savoir,int
allez-y,phrase
alliage,n
alliance,n
allié,adj
alliée,n
allier,v
Allier,proper
alliérin (page does not exist),
Alliérin (page does not exist),
alliez,v
alligator,n
allions,v
allitération,n
allô,int
allocataire,n
allocation,n
allocation chômage (page does not exist),
allocs,n
allocutaire,n
allocuteur,n
allocution,n
allogamie,n
allogène,n
allongement,n
allongement compensatoire (page does not exist),
allonger,v
allons,v
allons-y,phrase
allonyme (page does not exist),
allopathie,n
allopathiquement,adv
allophone,
allostérique,adj
allotriomorphique,adj
allotrope,n adj
allouer,v
allumage,n
allumé,adj
allume-feu (page does not exist),
allumer,v
allumette,n
allumeuse,n
allure,n
allusif,
allusion,n
allusivement,adv
alluvion,n
almanach,n
aloès,n
alogique,adj
alogiquement,adv
aloi,n
alopécure (page does not exist),
alors,conj
alors que,adv
alose,n
alouette,n
alouette des champs (page does not exist),
alouette lulu (page does not exist),
alourdir,v
alourdissement,n
aloyau,n
alp,abbr
alpaga,n
alpage,n
Alpes,proper
Alpes-de-Haute-Provence,proper
Alpes-Maritimes,proper
alpha,n
Alpha Centauri,
Alpha Centauri C,
Alpha du Centaure (page does not exist),
l’alpha et l’oméga (page does not exist),
alpha-numérique (page does not exist),
alphabet,n
alphabet arabe (page does not exist),
alphabet glagolitique (page does not exist),
alphabet latin,n
Alphabet phonétique international (page does not exist),proper
alphabète,adj
alphabétique,adj
alphabétiquement,adv
alphabétisation,n
alphabétiser,v
alphabétisme,n
alphanumérique,adj
Alphée,proper
Alphonse,proper
Alpin (page does not exist),
alpin,adj
alpinisme,n
alpiniste,n
Alsace,proper
alsacien,adj n
Alsacien,n
Alsacienne,
alsacienne,
Altaï (page does not exist),
alter ego,
altération,n
altercation,n
altérer,v
altérité,n
altermondialisation,n
altermondialisme,n
altermondialiste,adj n
alternance,n
alternance de code,n
alternant,
alternateur,adj n
alternatif,adj
alternative,
alternativement,adv
alterner,v
alterparentalité (page does not exist),
altesse,n
altier,adj
altièrement,adv
Altiligérien (page does not exist),
altiligérien (page does not exist),
altimètre,n
altiport,n
altitude,n
alto,n
altophobie (page does not exist),
altruisme,n
altruiste,adj n
alu,n
alula,n
aluminium,n
alumnat (page does not exist),
alun,
alunir,v
alunissage,n
alvéole,n
alvéolé,adj
alvéole pulmonaire,n
alvéolopalatal,adj
alvin,adj
Alya (page does not exist),
-âmes,suffix
-amine,
-amment,suffix
amabile,adv
amabilité,n
Amadou,proper
amadou,n
amadouer,v
amadouvier,n
amaigrir,v
amaigrissement,n
amalgamation,n
amalgame,n
amalgamer,v
Amand,proper
Amanda,proper
amande,n
amandier,n
amandin,adj
amandine,n
Amandine,proper
amanite,n
amanite panthère (page does not exist),
amanite tue-mouches (page does not exist),
amant,n
amante,n
amarante,adj n
amaretto,n
amarrage,n
amarre,n
amarrer,v
amaryllis,n
amas,n
amasser,v
amateur,n adj
amateurisme,n
amateuse (page does not exist),
amathophobie (page does not exist),
Amaury,proper
amazone,n
Amazone,proper
amazonien,adj
ambage,n
ambassade,n
ambassadeur,n
ambassadrice,n
ambiance,n
ambiancer,v
ambianceur,n
ambidextérité (page does not exist),
ambidextre,adj n
ambidextrie,n
ambigrammatique,adj
ambigramme,n
ambigu,adj n
ambiguïser,
ambiguïté,n
ambigument,adv
ambitieusement,adv
ambitieux,adj
ambition,n
ambitionner,v
ambivalent,
ambler,v
amblyope,
amblyopie,n
ambon,
ambre,n
Ambre,proper
ambré,adj
ambre gris,n
ambre jaune,n
ambrée,
ambrer,v
ambrette,
ambroisie,n
ambulance,n
ambulancier,n
ambulatoire,adj
AMC,init
AMD,init
âme,n
âme sœur,n
âme sœur,
amélanchier,n
Amélie,proper
Ameline,proper
améliorable,adj
amélioration,n
améliorer,v
amen,
aménagement,n
aménager,v
amendable,
amende,n
amendement,n
amender,v
amener,v
aménité,n
aménorrhée,n
amenuiser,v
amer,adj
amèrement,adv
américain,n adj
Américain,n
Américaine,
américaine,adj n
américanisation,n
américaniser,v
américanisme,n
américanité,n
américium,n
amérindien,adj n
Amérindien,n
Amérindienne,
amérindienne,
amérindiennes,
amérindiens,
Amérique,proper
Amérique Centrale (page does not exist),
Amérique du Nord,proper
Amérique du Sud,proper
Amérique latine,proper
Amériques,
amerloque,
amerrir,v
amerrissage,n
amertume,n
amétabole,adj
améthyste,n
ameublement,n
ameuter,v
AMFR (page does not exist),
àmha,init
amharique,adj n
ami,n
ami de cœur (page does not exist),
ami intime (page does not exist),
amiable,
amiablement,adv
amiante,n
amianté,adj
amibe,n
amibien,adj
amical,adj
amicale,adj
amicalement,adv
amide,
amidon,n
amidonner,v
amidonnier,
amidure,
amie,n
amiénois,adj
Amiénois,n
Amiens,
amincir,v
amincissant,adj
amine,
aminé,adj
aminogramme,
amiral,adj n
amiraulté,n
amirauté,n
amis,
amitié,n
AML,init
Amman,
Ammerschwihr,proper
ammoniac,n adj
ammoniaque,
ammoniure,
ammorti,n
amnésie,n
amnésique,adj
amniocentèse,n
amnistie,n
amnistier,v
amocher,v
amodal,
amoindrir,v
amoindrissement,n
amollir,v
amollissant,n v
amonceler,v
amoncellement,n
amont,n
amoralement,adv
amorçage,
amorce,n
amorcer,v
amoroso,adv
amorphe,adj
amorti,
amortie,
amortir,v
amortissable,adj
amortissement,n
amortisseur,n
amouillante (page does not exist),
amouiller (page does not exist),
amour,n
Amour,proper
amour de soi,n
l’amour est aveugle (page does not exist),
amour libre,n
amour non échangé (page does not exist),
amour non partagé (page does not exist),
amour non-réciproqué (page does not exist),
amour non récompensé (page does not exist),
amour platonique,
amour-propre,n
amouracher,v
amourette,n
amoureuse,
amoureusement,adv
amoureux,adj n
amovible,adj
ampélographie,n
ampere,
Ampère,proper
ampère,n
ampèremètre,n
amphétamine,n
amphi,n
amphibie,adj n
amphibien,n
amphibole,
amphibologiquement,adv
amphigouri,n
amphigourique,adj
amphigouriquement,adv
Amphipolis,proper
amphiprostyle,
amphithéâtre,n
amphore,n
ample,
amplement,adv
ampleur,n
ampli,n
amplificateur,n
amplification,
amplifier,v
ampliforme,adj
amplitude,n
ampoule,n
ampoulé,adj
ampoule électrique (page does not exist),
ampoulément,adv
amputation,n
amputer,v
AMR,init
ams tram gram,phrase
amstellodamois,adj
Amstellodamois (page does not exist),
Amstellodamoise (page does not exist),
Amsterdam,
AMT,init
amulet,
amulette,n
amusant,adj
amusante,
amuse-bouche,n
amuse-gueule,n
amuse-gueules,
amuse-toi (page does not exist),
amusement,n
amuser,v
amusette,
amuseur,n
amusez-vous (page does not exist),
amygdale,n
amygdale cérébrale (page does not exist),
amygdalectomie,n
amygdalite,n
amylase,
-ance,suffix
-ancie (page does not exist),
-andrie (page does not exist),
-ant,suffix
an,n
anabaptiste,adj
anabase,n
anabolisant,adj n
anabolisme,
anacardier,n
anachorète,n
anachronique,adj
anachroniquement,adv
anachronisme,n
anacoluthe,n
anaconda,n
anacrouse,
anadrome,adj
anaérobie,adj n
anagramme,n
Anaïs,proper
anal,
anale,
analement,adv
analgésique,n
anallergique,adj
analogie,n
analogie à quatre termes (page does not exist),
analogie proportionnelle (page does not exist),
analogique,adj
analogiquement,adv
analogue,adj
analphabète,adj
analphabétisme,n
analysable,adj
analyse,n
analyse complexe (page does not exist),
analyse numérique (page does not exist),
analyse technique (page does not exist),
analyser,v
analysés,v
analyste,n
analyste d'affaires (page does not exist),
analytique,adj
analytiquement,adv
anamnèse,n
ananas,n
anapeste,n
anaphore,n
anaphorique,adj
anaphoriquement,adv
anarchie,n
anarchique,adj
anarchiquement,adv
anarchisme,n
anarchiste,adj n
anarcho-syndicalisme,
anastase,n
Anastasia,
Anastasie,proper
anastylose,n
anathématisé,
anathème,n
Anatole,proper
Anatoli,
Anatolie (page does not exist),
anatolien,adj
anatomie,
anatomique,adj
anatomiquement,adv
anatomiser,
ancestral,
ancêtre,n
ancêtres,
anche,n
anchoïade,n
anchois,n
ancien,adj
ancien français,n
Ancien Monde (page does not exist),
ancien occitan,n
Ancien Régime,proper
ancien régime,n
Ancien Testament,proper
ancienne,adj
ancienne République yougoslave de Macédoine (page does not exist),
Ancienne République Yougoslave de Macédoine (page does not exist),
anciennement,adv
ancienneté,n
anciens,n
ancillaire,adj
ancolie,
Ancône,
ancônitain,adj
Ancônitain,n
ancrage,
ancre,n
ancré,
ancrer,v
ancrure (page does not exist),
andain,
andain de neige,n
Andalou,
andalou,adj
Andaloue (page does not exist),
Andalousie,proper
andante,adv n
andantino,adv
Andes,proper
Ándhros (page does not exist),
andin,adj n
andorran,adj
Andorre,proper
Andorre-la-Vieille,proper
andouille,n
andouiller,
andouillette,n
André,proper
Andrée,proper
androgène,adj
androgyne,adj n
androgynéité,n
androgynie,n
androïde,n
andrologie,
Andromède,proper
andropause,n
androphobie,
Andros,proper
âne,n
âne-zèbre (page does not exist),
anéanti,
anéantir,v
anéantissement,n
anecdote,n
anecdotier,
anecdotière,
anecdotique,adj
anecdotiquement,
anecdotiste,
anéchoïque,adj
anémie,n
anémie ferriprive (page does not exist),
anémie hypochrome (page does not exist),
anémique,adj
anémogamie,n
anémogramme,
anémone,n
anémone de mer,n
anémone hépatique (page does not exist),
anémone sylvie (page does not exist),
ânerie,
ânesse,n
anesthésie,n
anesthésier,v
anesthésique,adj n
anesthésiste,n
aneth,n
anévrisme,n
anévrysme,
anfractuosité,n
ange,n
Ange,proper
ange déchu,n
